YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN
2011,1,25,15,383.0
2011,1,25,16,224.9
2011,1,25,17,111.73
2011,1,25,18,7.44
2011,1,25,19,0.0
2011,1,25,20,0.0
2011,1,25,21,0.0
2011,1,25,22,0.0
2011,1,25,23,0.0
2011,1,26,0,0.0
2011,1,26,1,0.0
2011,1,26,2,0.0
2011,1,26,3,0.0
2011,1,26,4,0.0
2011,1,26,5,0.0
2011,1,26,6,18.48
2011,1,26,7,129.92
2011,1,26,8,315.19
2011,1,26,9,596.02
2011,1,26,10,745.27
2011,1,26,11,847.48
2011,1,26,12,779.41
2011,1,26,13,762.73
2011,1,26,14,619.45
2011,1,26,15,502.27
2011,1,26,16,290.5
2011,1,26,17,118.98
2011,1,26,18,7.16
2011,1,26,19,0.0
2011,1,26,20,0.0
2011,1,26,21,0.0
2011,1,26,22,0.0
2011,1,26,23,0.0
2011,1,27,0,0.0
2011,1,27,1,0.0
2011,1,27,2,0.0
2011,1,27,3,0.0
2011,1,27,4,0.0
2011,1,27,5,0.0
2011,1,27,6,24.52
2011,1,27,7,204.7
2011,1,27,8,433.37
2011,1,27,9,647.11
2011,1,27,10,769.06
2011,1,27,11,803.57
2011,1,27,12,749.89
2011,1,27,13,738.85
2011,1,27,14,556.03
2011,1,27,15,504.41
2011,1,27,16,284.59
2011,1,27,17,114.8
2011,1,27,18,7.07
2011,1,27,19,0.0
2011,1,27,20,0.0
2011,1,27,21,0.0
2011,1,27,22,0.0
2011,1,27,23,0.0
2011,1,28,0,0.0
2011,1,28,1,0.0
2011,1,28,2,0.0
2011,1,28,3,0.0
2011,1,28,4,0.0
2011,1,28,5,0.0
2011,1,28,6,10.02
2011,1,28,7,81.02
2011,1,28,8,209.66
2011,1,28,9,514.12
2011,1,28,10,721.76
2011,1,28,11,708.19
2011,1,28,12,726.05
2011,1,28,13,661.69
2011,1,28,14,603.29
2011,1,28,15,418.77
2011,1,28,16,242.23
2011,1,28,17,83.58
2011,1,28,18,6.54
2011,1,28,19,0.0
2011,1,28,20,0.0
2011,1,28,21,0.0
2011,1,28,22,0.0
2011,1,28,23,0.0
2011,1,29,0,0.0
2011,1,29,1,0.0
2011,1,29,2,0.0
2011,1,29,3,0.0
2011,1,29,4,0.0
2011,1,29,5,0.0
2011,1,29,6,16.34
2011,1,29,7,124.79
2011,1,29,8,296.29
2011,1,29,9,487.86
2011,1,29,10,664.55
2011,1,29,11,752.98
2011,1,29,12,753.64
2011,1,29,13,718.39
2011,1,29,14,599.48
2011,1,29,15,393.8
2011,1,29,16,219.27
2011,1,29,17,77.52
2011,1,29,18,5.45
2011,1,29,19,0.0
2011,1,29,20,0.0
2011,1,29,21,0.0
2011,1,29,22,0.0
2011,1,29,23,0.0
2011,1,30,0,0.0
2011,1,30,1,0.0
2011,1,30,2,0.0
2011,1,30,3,0.0
2011,1,30,4,0.0
2011,1,30,5,0.0
2011,1,30,6,20.65
2011,1,30,7,123.4
2011,1,30,8,248.13
2011,1,30,9,440.94
2011,1,30,10,486.44
2011,1,30,11,495.85
2011,1,30,12,346.32
2011,1,30,13,287.21
2011,1,30,14,360.49
2011,1,30,15,331.35
2011,1,30,16,160.49
2011,1,30,17,66.04
2011,1,30,18,6.88
2011,1,30,19,0.0
2011,1,30,20,0.0
2011,1,30,21,0.0
2011,1,30,22,0.0
2011,1,30,23,0.0
2011,1,31,0,0.0
2011,1,31,1,0.0
2011,1,31,2,0.0
2011,1,31,3,0.0
2011,1,31,4,0.0
2011,1,31,5,0.0
2011,1,31,6,9.51
2011,1,31,7,57.85
2011,1,31,8,145.5
